,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Ushuaia,AR,40.66,-54.8,-68.3,
1,Hilo,US,79.29,19.7297,-155.09,
2,Punta Arenas,CL,39.31,-53.15,-70.9167,
3,Faya,SA,68.52,18.3851,42.4509,
4,Port Hardy,CA,60.98,50.6996,-127.4199,
5,Chuy,UY,61.45,-33.6971,-53.4616,
6,Busselton,AU,65.01,-33.65,115.3333,
7,Herat,AF,87.82,34.5,62.0,
8,Coihaique,CL,39.15,-45.5752,-72.0662,
9,Naze,JP,86.92,28.3667,129.4833,
10,Mahebourg,MU,74.25,-20.4081,57.7,
11,Yellowknife,CA,63.12,62.456,-114.3525,
12,Dikson,RU,40.68,73.5069,80.5464,
13,Hithadhoo,MV,82.99,-0.6,73.0833,
14,Iqaluit,CA,46.13,63.7506,-68.5145,
15,Lavrentiya,RU,41.45,65.5833,-171.0,
16,Mataura,NZ,47.48,-46.1927,168.8643,
17,Hermanus,ZA,52.81,-34.4187,19.2345,
18,Sao Filipe,CV,78.15,14.8961,-24.4956,
19,Thompson,CA,57.36,55.7435,-97.8558,
20,Carnarvon,AU,75.18,-24.8667,113.6333,
21,Atambua,ID,82.13,-9.1061,124.8925,
22,San Quintin,MX,67.14,30.4833,-115.95,
23,Mao,ES,72.16,39.8885,4.2658,
24,Neiafu,TO,77.68,-18.65,-173.9833,
26,Beringovskiy,RU,51.08,63.05,179.3167,
27,Cayenne,GF,75.09,4.9333,-52.3333,
28,Hobart,AU,53.26,-42.8794,147.3294,
29,Alihe,CN,68.58,50.5667,123.7167,
30,Pisco,PE,60.85,-13.7,-76.2167,
31,Aksarka,RU,71.58,66.5606,67.7975,
32,Lensk,RU,92.52,60.7253,114.9278,
33,Cape Town,ZA,59.38,-33.9258,18.4232,
34,Kearney,US,72.16,40.6995,-99.0815,
35,Arraial Do Cabo,BR,69.17,-22.9661,-42.0278,
36,Avarua,CK,75.25,-21.2078,-159.775,
37,Gandhinagar,IN,87.78,23.2167,72.6833,
38,Biritiba-Mirim,BR,56.98,-23.5698,-46.0407,
39,Albany,US,68.45,42.6001,-73.9662,
40,Rikitea,PF,74.1,-23.1203,-134.9692,
41,Castro,BR,56.43,-24.7911,-50.0119,
42,Abbeville,FR,57.49,50.1,1.8333,
43,Pevek,RU,36.79,69.7008,170.3133,
44,Broome,US,72.57,42.2506,-75.833,
45,Lorengau,PG,83.82,-2.0226,147.2712,
46,Beroroha,MG,67.6,-21.6667,45.1667,
47,Edd,ER,92.52,13.9297,41.6925,
48,Sakete,BJ,72.52,6.7362,2.6587,
49,Ilinskiy,RU,75.54,55.619,38.1182,
50,Kapaa,US,82.38,22.0752,-159.319,
51,Carutapera,BR,74.61,-1.195,-46.02,
52,Dunedin,NZ,45.81,-45.8742,170.5036,
53,Georgetown,MY,89.53,5.4112,100.3354,
