,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Ushuaia,AR,40.66,-54.8,-68.3,Albatross Hotel
1,Hilo,US,79.29,19.7297,-155.09,Hilo Hawaiian Hotel
2,Punta Arenas,CL,39.31,-53.15,-70.9167,Hotel Hain
3,Faya,SA,68.52,18.3851,42.4509,املاك خالد الشعشوع
4,Port Hardy,CA,60.98,50.6996,-127.4199,Airport Inn-Port Hardy
5,Chuy,UY,61.45,-33.6971,-53.4616,Nuevo Hotel Plaza
6,Busselton,AU,65.01,-33.65,115.3333,Observatory Guest House
7,Herat,AF,87.82,34.5,62.0,
8,Coihaique,CL,39.15,-45.5752,-72.0662,Diego De Almagro Coyhaique
9,Naze,JP,86.92,28.3667,129.4833,Shishime Hotel
10,Mahebourg,MU,74.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Yellowknife,CA,63.12,62.456,-114.3525,The Explorer Hotel
12,Dikson,RU,40.68,73.5069,80.5464,
13,Hithadhoo,MV,82.99,-0.6,73.0833,Scoop Guest House
14,Iqaluit,CA,46.13,63.7506,-68.5145,Frobisher Inn
15,Lavrentiya,RU,41.45,65.5833,-171.0,
16,Mataura,NZ,47.48,-46.1927,168.8643,Ellie's Villa
17,Hermanus,ZA,52.81,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Sao Filipe,CV,78.15,14.8961,-24.4956,Hotel Xaguate
19,Thompson,CA,57.36,55.7435,-97.8558,Burntwood Hotel
20,Carnarvon,AU,75.18,-24.8667,113.6333,Hospitality Carnarvon
21,Atambua,ID,82.13,-9.1061,124.8925,Kost Alfa Flat
22,San Quintin,MX,67.14,30.4833,-115.95,Don Eddie's Sport Fishing Center
23,Mao,ES,72.16,39.8885,4.2658,ARTIEM Capri
24,Neiafu,TO,77.68,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
26,Beringovskiy,RU,51.08,63.05,179.3167,
27,Cayenne,GF,75.09,4.9333,-52.3333,Hôtel Le Dronmi
28,Hobart,AU,53.26,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
29,Alihe,CN,68.58,50.5667,123.7167,Alihe Forestry Hotel
30,Pisco,PE,60.85,-13.7,-76.2167,Hotel San Isidro Oficial
31,Aksarka,RU,71.58,66.5606,67.7975,
32,Lensk,RU,92.52,60.7253,114.9278,ТинОрС
33,Cape Town,ZA,59.38,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
