City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,Ushuaia,-54.8,-68.3,40.66,75,40,11.5,AR,2022-07-28 05:17:43
1,1,Hilo,19.7297,-155.09,79.29,82,40,3.44,US,2022-07-28 05:17:35
2,2,Punta Arenas,-53.15,-70.9167,39.31,81,20,13.8,CL,2022-07-28 05:20:53
3,3,Faya,18.3851,42.4509,68.52,47,100,7.02,SA,2022-07-28 05:20:53
5,5,Chuy,-33.6971,-53.4616,61.45,97,100,7.31,UY,2022-07-28 05:20:55
6,6,Busselton,-33.65,115.3333,65.01,71,30,14.7,AU,2022-07-28 05:19:23
7,7,Herat,34.5,62.0,87.82,23,73,27.72,AF,2022-07-28 05:20:55
8,8,Coihaique,-45.5752,-72.0662,39.15,65,0,3.44,CL,2022-07-28 05:17:02
9,9,Naze,28.3667,129.4833,86.92,82,65,15.57,JP,2022-07-28 05:20:56
10,10,Mahebourg,-20.4081,57.7,74.25,78,40,11.5,MU,2022-07-28 05:19:30
11,11,Yellowknife,62.456,-114.3525,63.12,72,75,6.91,CA,2022-07-28 05:18:39
12,12,Dikson,73.5069,80.5464,40.68,93,57,12.93,RU,2022-07-28 05:20:58
13,13,Hithadhoo,-0.6,73.0833,82.99,73,98,11.65,MV,2022-07-28 05:20:58
14,14,Iqaluit,63.7506,-68.5145,46.13,81,75,5.75,CA,2022-07-28 05:20:59
15,15,Lavrentiya,65.5833,-171.0,41.45,84,100,6.08,RU,2022-07-28 05:20:59
16,16,Mataura,-46.1927,168.8643,47.48,98,100,4.0,NZ,2022-07-28 05:19:29
17,17,Hermanus,-34.4187,19.2345,52.81,76,0,11.5,ZA,2022-07-28 05:19:24
18,18,Sao Filipe,14.8961,-24.4956,78.15,88,94,4.81,CV,2022-07-28 05:21:00
20,20,Carnarvon,-24.8667,113.6333,75.18,47,100,4.83,AU,2022-07-28 05:21:00
21,21,Atambua,-9.1061,124.8925,82.13,46,61,2.77,ID,2022-07-28 05:21:01
22,22,San Quintin,30.4833,-115.95,67.14,87,5,10.96,MX,2022-07-28 05:21:01
24,24,Neiafu,-18.65,-173.9833,77.68,83,20,9.22,TO,2022-07-28 05:21:02
25,25,Luderitz,-26.6481,15.1594,53.42,77,0,3.38,,2022-07-28 05:19:28
26,26,Beringovskiy,63.05,179.3167,51.08,86,100,8.43,RU,2022-07-28 05:21:03
28,28,Hobart,-42.8794,147.3294,53.26,60,20,14.97,AU,2022-07-28 05:21:04
29,29,Alihe,50.5667,123.7167,68.58,87,100,5.55,CN,2022-07-28 05:21:04
30,30,Pisco,-13.7,-76.2167,60.85,88,40,4.61,PE,2022-07-28 05:21:05
31,31,Aksarka,66.5606,67.7975,71.58,45,65,10.69,RU,2022-07-28 05:21:05
32,32,Lensk,60.7253,114.9278,92.52,34,2,11.16,RU,2022-07-28 05:21:06
33,33,Cape Town,-33.9258,18.4232,59.38,79,0,2.3,ZA,2022-07-28 05:19:38
34,34,Kearney,40.6995,-99.0815,72.16,85,40,5.75,US,2022-07-28 05:18:04
35,35,Arraial Do Cabo,-22.9661,-42.0278,69.17,80,0,24.76,BR,2022-07-28 05:17:01
36,36,Avarua,-21.2078,-159.775,75.25,78,75,13.8,CK,2022-07-28 05:21:07
37,37,Gandhinagar,23.2167,72.6833,87.78,79,75,5.75,IN,2022-07-28 05:21:08
38,38,Biritiba-Mirim,-23.5698,-46.0407,56.98,92,19,3.0,BR,2022-07-28 05:21:08
39,39,Albany,42.6001,-73.9662,68.45,83,95,1.72,US,2022-07-28 05:14:42
40,40,Rikitea,-23.1203,-134.9692,74.1,66,99,18.63,PF,2022-07-28 05:17:47
41,41,Castro,-24.7911,-50.0119,56.43,80,92,2.71,BR,2022-07-28 05:21:09
42,42,Abbeville,50.1,1.8333,57.49,67,84,6.55,FR,2022-07-28 05:18:41
43,43,Pevek,69.7008,170.3133,36.79,85,94,6.31,RU,2022-07-28 05:22:09
44,44,Broome,42.2506,-75.833,72.57,87,89,1.01,US,2022-07-28 05:22:10
45,45,Lorengau,-2.0226,147.2712,83.82,76,41,11.27,PG,2022-07-28 05:22:10
46,46,Beroroha,-21.6667,45.1667,67.6,68,0,3.62,MG,2022-07-28 05:22:11
47,47,Edd,13.9297,41.6925,92.52,58,58,1.7,ER,2022-07-28 05:22:11
48,48,Sakete,6.7362,2.6587,72.52,93,92,5.64,BJ,2022-07-28 05:22:12
49,49,Ilinskiy,55.619,38.1182,75.54,73,0,4.47,RU,2022-07-28 05:22:12
50,50,Kapaa,22.0752,-159.319,82.38,80,75,19.57,US,2022-07-28 05:19:38
51,51,Carutapera,-1.195,-46.02,74.61,90,91,3.29,BR,2022-07-28 05:22:13
52,52,Dunedin,-45.8742,170.5036,45.81,89,100,11.01,NZ,2022-07-28 05:22:13
53,53,Georgetown,5.4112,100.3354,89.53,70,20,10.36,MY,2022-07-28 05:19:36
54,54,Laukaa,58.7372,29.8453,60.06,75,2,3.83,RU,2022-07-28 05:22:14
55,55,Tiksi,71.6872,128.8694,72.81,53,83,7.43,RU,2022-07-28 05:22:15
56,56,Pangnirtung,66.1451,-65.7125,53.08,71,100,1.39,CA,2022-07-28 05:22:15
57,57,Mount Gambier,-37.8333,140.7667,49.91,81,75,17.27,AU,2022-07-28 05:22:15
58,58,Bilma,18.6853,12.9164,82.94,58,85,9.62,NE,2022-07-28 05:22:16
