City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,0,Punta Arenas,CL,-53.15,-70.9167,33.91,33.91,86,40,4.61,scattered clouds,2022-08-05 23:29:16
1,1,Khatanga,RU,71.9667,102.5,59.41,59.41,78,11,7.23,few clouds,2022-08-05 23:29:16
2,2,Kapaa,US,22.0752,-159.319,83.48,82.11,70,20,11.5,few clouds,2022-08-05 23:29:17
3,3,Severo-Yeniseyskiy,RU,60.3725,93.0408,44.26,44.26,88,99,2.91,overcast clouds,2022-08-05 23:25:28
4,4,Katsuyama,JP,36.0617,136.501,80.96,80.96,80,100,4.76,overcast clouds,2022-08-05 23:29:18
5,5,Enid,US,36.3956,-97.8784,104.02,100.08,31,0,16.11,clear sky,2022-08-05 23:29:18
6,6,Moose Factory,CA,51.2585,-80.6094,77.0,75.18,57,100,5.75,overcast clouds,2022-08-05 23:29:19
7,7,Dikson,RU,73.5069,80.5464,42.67,42.67,100,100,8.77,light rain,2022-08-05 23:29:19
8,8,Aklavik,CA,68.2191,-135.0107,77.0,77.0,41,75,11.5,broken clouds,2022-08-05 23:29:20
9,9,Edd,ER,13.9297,41.6925,89.58,89.58,64,72,5.7,light rain,2022-08-05 23:21:28
10,10,Saint-Philippe,RE,-21.3585,55.7679,66.22,60.12,72,31,10.76,scattered clouds,2022-08-05 23:26:57
11,11,Chermen,RU,43.1486,44.7069,65.44,65.25,100,100,4.47,mist,2022-08-05 23:29:21
12,12,Parkes,AU,-33.1333,148.1833,47.17,47.17,74,14,8.1,few clouds,2022-08-05 23:29:21
13,13,Bereda,ES,43.2686,-7.5406,64.42,61.14,100,100,10.27,overcast clouds,2022-08-05 23:24:02
14,14,Bluff,NZ,-46.6,168.3333,49.41,49.41,90,76,7.49,light rain,2022-08-05 23:28:01
15,15,Palu,ID,-0.8917,119.8707,75.79,75.79,94,92,2.01,overcast clouds,2022-08-05 23:29:22
16,16,Daru,PG,-9.0763,143.2092,79.27,79.27,89,99,13.49,overcast clouds,2022-08-05 23:29:23
17,17,Ancud,CL,-41.8697,-73.8203,42.22,42.22,84,4,6.69,clear sky,2022-08-05 23:28:06
18,18,Hermanus,ZA,-34.4187,19.2345,54.81,54.81,85,62,5.75,broken clouds,2022-08-05 23:29:23
19,19,Port Elizabeth,ZA,-33.918,25.5701,55.69,55.31,89,0,8.05,clear sky,2022-08-05 23:26:43
20,20,Lavrentiya,RU,65.5833,-171.0,43.47,43.47,77,99,11.86,overcast clouds,2022-08-05 23:28:07
21,21,Nishihara,JP,26.1842,127.7558,85.28,83.68,84,40,2.3,scattered clouds,2022-08-05 23:29:24
22,22,Turukhansk,RU,65.8167,87.9833,58.57,58.57,81,90,2.48,overcast clouds,2022-08-05 23:22:35
23,23,Coquimbo,CL,-29.9533,-71.3436,55.13,55.13,87,0,6.91,clear sky,2022-08-05 23:29:25
24,24,Okhotsk,RU,59.3833,143.3,57.11,57.11,88,100,11.36,overcast clouds,2022-08-05 23:29:25
25,25,Westport,US,41.1415,-73.3579,86.02,79.86,70,0,4.61,clear sky,2022-08-05 23:25:55
26,26,Tharad,IN,24.3961,71.6267,80.89,80.89,86,100,4.7,overcast clouds,2022-08-05 23:29:26
27,27,Prince Rupert,CA,54.3161,-130.3201,62.69,58.69,84,20,18.41,few clouds,2022-08-05 23:29:10
28,28,Mocuba,MZ,-16.8392,36.9856,61.95,61.95,96,0,1.99,clear sky,2022-08-05 23:29:26
29,29,Thompson,CA,55.7435,-97.8558,53.76,53.76,94,100,13.8,mist,2022-08-05 23:24:40
30,30,Gat,IL,31.61,34.7642,80.4,75.78,100,0,3.58,clear sky,2022-08-05 23:28:01
31,31,Busselton,AU,-33.65,115.3333,54.25,54.25,72,80,5.91,broken clouds,2022-08-05 23:27:36
32,32,Carberry,CA,49.8689,-99.3602,77.23,77.23,44,76,13.85,broken clouds,2022-08-05 23:29:28
33,33,Albany,US,42.6001,-73.9662,86.65,79.29,71,90,1.52,overcast clouds,2022-08-05 23:29:28
34,34,Areka,ET,7.0667,37.7,60.15,60.15,84,46,1.61,scattered clouds,2022-08-05 23:29:29
35,35,Caravelas,BR,-17.7125,-39.2481,73.44,73.44,79,22,9.55,few clouds,2022-08-05 23:28:00
36,36,Orodara,BF,10.9492,-4.9342,70.61,70.61,94,99,4.41,light rain,2022-08-05 23:29:29
37,37,Mahebourg,MU,-20.4081,57.7,68.29,65.25,83,40,14.97,scattered clouds,2022-08-05 23:29:30
38,38,Le Port,RE,-20.9373,55.2919,66.61,60.51,59,35,6.22,scattered clouds,2022-08-05 23:29:30
39,39,Provideniya,RU,64.3833,-173.3,49.44,49.44,56,29,8.32,scattered clouds,2022-08-05 23:29:31
40,40,Tasiilaq,GL,65.6145,-37.6368,48.36,48.36,72,40,3.15,scattered clouds,2022-08-05 23:29:31
41,41,Kudahuvadhoo,MV,2.6708,72.8944,81.84,81.84,75,100,14.72,overcast clouds,2022-08-05 23:29:32
42,42,Kaitangata,NZ,-46.2817,169.8464,51.15,51.15,81,98,3.8,light rain,2022-08-05 23:29:32
43,43,Yazykovo,RU,55.2199,56.1353,60.26,60.26,73,0,3.29,clear sky,2022-08-05 23:29:32
44,44,Liaocheng,CN,36.4439,115.9647,81.5,81.5,88,1,8.5,clear sky,2022-08-05 23:29:33
45,45,Chumikan,RU,54.7183,135.315,53.33,53.33,98,100,26.15,moderate rain,2022-08-05 23:30:33
46,46,Narsaq,GL,60.9167,-46.05,46.62,46.62,94,100,3.76,overcast clouds,2022-08-05 23:22:48
47,47,Port Alfred,ZA,-33.5906,26.891,57.18,57.18,89,79,1.99,broken clouds,2022-08-05 23:30:34
48,48,Goderich,CA,43.7501,-81.7165,80.92,75.9,65,1,4.61,clear sky,2022-08-05 23:30:34
49,49,Tual,ID,-5.6667,132.75,79.36,79.36,85,98,8.37,overcast clouds,2022-08-05 23:30:35
50,50,Faanui,PF,-16.4833,-151.75,77.34,77.34,78,81,23.29,light rain,2022-08-05 23:30:35
51,51,Mount Gambier,AU,-37.8333,140.7667,52.25,52.25,90,51,3.13,broken clouds,2022-08-05 23:30:36
52,52,Atagay,RU,55.1033,99.3875,47.86,47.86,87,89,6.96,overcast clouds,2022-08-05 23:30:36
53,53,Behbahan,IR,30.5959,50.2417,95.74,95.74,47,6,0.96,clear sky,2022-08-05 23:30:37
54,54,Mansa,IN,29.9833,75.3833,79.72,79.72,86,17,6.62,few clouds,2022-08-05 23:30:37
55,55,Vaini,TO,-21.2,-175.2,75.36,75.36,100,75,13.8,broken clouds,2022-08-05 23:26:45
56,56,Jamestown,US,42.097,-79.2353,79.72,73.94,61,20,5.75,few clouds,2022-08-05 23:28:08
57,57,Talnakh,RU,69.4865,88.3972,49.21,49.21,81,40,2.55,scattered clouds,2022-08-05 23:30:38
58,58,Chokurdakh,RU,70.6333,147.9167,51.01,51.01,57,26,4.34,scattered clouds,2022-08-05 23:21:13
59,59,Mataura,NZ,-46.1927,168.8643,57.47,57.47,74,92,4.38,overcast clouds,2022-08-05 23:30:39
60,60,Bin Qirdan,TN,33.1378,11.2197,79.14,79.14,73,0,4.99,clear sky,2022-08-05 23:30:40
61,61,Pevek,RU,69.7008,170.3133,34.86,34.86,98,100,8.41,snow,2022-08-05 23:30:40
62,62,New Norfolk,AU,-42.7826,147.0587,48.7,43.88,71,96,4.0,overcast clouds,2022-08-05 23:30:41
63,63,Nikolskoye,RU,59.7035,30.7861,67.91,66.78,80,58,5.64,broken clouds,2022-08-05 23:26:51
64,64,Baracoa,CU,20.3467,-74.4958,80.26,80.26,84,99,12.82,overcast clouds,2022-08-05 23:30:41
65,65,Yellowknife,CA,62.456,-114.3525,69.57,68.52,42,75,4.61,broken clouds,2022-08-05 23:30:42
66,66,Lotofaga,WS,-13.9764,-171.8578,83.98,83.79,70,27,19.3,scattered clouds,2022-08-05 23:30:42
67,67,Mehamn,NO,71.0357,27.8492,49.95,48.11,81,83,8.05,broken clouds,2022-08-05 23:25:34
68,68,Fortuna,US,40.5982,-124.1573,71.91,64.74,70,20,18.41,few clouds,2022-08-05 23:26:44
69,69,Ribeira Grande,PT,38.5167,-28.7,75.92,75.92,83,57,8.7,broken clouds,2022-08-05 23:30:43
70,70,Guerrero Negro,MX,27.9769,-114.0611,77.94,77.94,68,3,20.29,clear sky,2022-08-05 23:27:59
71,71,Sorong,ID,-0.8833,131.25,80.1,80.1,83,100,9.95,overcast clouds,2022-08-05 23:30:44
72,72,Rikitea,PF,-23.1203,-134.9692,70.34,70.34,61,32,19.13,scattered clouds,2022-08-05 23:30:45
73,73,Tigzirt,DZ,36.8886,4.1198,78.19,78.19,73,0,8.41,clear sky,2022-08-05 23:26:47
74,74,Qaanaaq,GL,77.484,-69.3632,41.18,41.18,68,20,2.73,few clouds,2022-08-05 23:30:45
75,75,Ust-Tsilma,RU,65.441,52.1498,59.77,59.77,97,93,3.29,overcast clouds,2022-08-05 23:30:46
76,76,Campbell River,CA,50.0163,-125.2446,77.38,69.46,36,20,2.3,few clouds,2022-08-05 23:30:46
77,77,Castro,BR,-24.7911,-50.0119,56.66,56.66,65,0,2.71,clear sky,2022-08-05 23:28:52
78,78,Xuddur,SO,4.1213,43.8894,68.22,68.22,80,16,18.32,few clouds,2022-08-05 23:30:47
79,79,Hobart,AU,-42.8794,147.3294,49.05,44.22,90,75,12.66,broken clouds,2022-08-05 23:29:59
80,80,Savannah Bight,HN,16.45,-85.85,81.46,81.46,73,94,22.44,overcast clouds,2022-08-05 23:30:47
81,81,Nome,US,64.5011,-165.4064,57.16,53.67,76,100,13.8,overcast clouds,2022-08-05 23:16:35
82,82,Butaritari,KI,3.0707,172.7902,82.22,82.22,73,84,9.08,broken clouds,2022-08-05 23:30:48
83,83,Ilulissat,GL,69.2167,-51.1,46.42,46.42,87,75,2.3,broken clouds,2022-08-05 23:27:37
84,84,Rapu-Rapu,PH,13.1866,124.1256,81.3,81.3,79,100,8.93,light rain,2022-08-05 23:30:49
85,85,Jabinyanah,TN,35.035,10.9081,82.2,82.2,61,0,11.81,clear sky,2022-08-05 23:26:17
86,86,Taltal,CL,-25.4,-70.4833,55.2,55.2,81,24,0.36,few clouds,2022-08-05 23:24:12
87,87,Hualmay,PE,-11.0964,-77.6139,62.31,62.31,81,43,11.5,scattered clouds,2022-08-05 23:30:50
88,88,Kruisfontein,ZA,-34.0033,24.7314,51.17,51.17,90,39,5.99,scattered clouds,2022-08-05 23:30:50
89,89,Bengkulu,ID,-3.8004,102.2655,74.16,74.16,81,38,4.56,scattered clouds,2022-08-05 23:30:50
90,90,Saskylakh,RU,71.9167,114.0833,55.83,55.83,74,5,6.04,clear sky,2022-08-05 23:28:05
91,91,Camana,PE,-16.6228,-72.7111,60.66,60.66,86,72,5.84,broken clouds,2022-08-05 23:30:51
92,92,Siocon,PH,7.7061,122.1353,79.83,79.83,86,100,4.76,overcast clouds,2022-08-05 23:31:51
93,93,Chimbote,PE,-9.0853,-78.5783,62.22,62.22,85,84,10.6,broken clouds,2022-08-05 23:31:52
94,94,Lebowakgomo,ZA,-24.2,29.5,56.3,45.05,55,4,5.55,clear sky,2022-08-05 23:31:52
95,95,Pizarro,CO,4.9533,-77.366,77.05,77.05,90,81,6.62,moderate rain,2022-08-05 23:31:53
96,96,Mar Del Plata,AR,-38.0023,-57.5575,48.22,46.94,85,0,5.01,clear sky,2022-08-05 23:31:53
97,97,Alofi,NU,-19.0595,-169.9187,78.69,78.69,83,100,14.97,overcast clouds,2022-08-05 23:29:26
98,98,Ocampo,MX,21.65,-101.5,72.64,72.64,28,56,19.55,broken clouds,2022-08-05 23:31:54
99,99,Carnarvon,AU,-24.8667,113.6333,59.05,59.05,54,0,12.97,clear sky,2022-08-05 23:31:54
100,100,Atuona,PF,-9.8,-139.0333,77.16,77.16,77,41,15.14,light rain,2022-08-05 23:31:55
101,101,Podporozhye,RU,60.9112,34.1706,62.92,62.92,80,7,4.59,clear sky,2022-08-05 23:31:55
102,102,Gumdag,TM,39.2061,54.5906,88.47,88.47,25,27,10.96,scattered clouds,2022-08-05 23:31:56
103,103,Oranjemund,,-28.55,16.4333,53.31,53.31,87,95,5.68,overcast clouds,2022-08-05 23:31:56
104,104,Rocha,UY,-34.4833,-54.3333,42.85,42.85,91,0,4.7,clear sky,2022-08-05 23:26:40
105,105,Concepcion Del Uruguay,AR,-32.4825,-58.2372,52.99,51.26,75,2,5.95,clear sky,2022-08-05 23:31:04
106,106,Katima Mulilo,,-17.5,24.2667,61.38,61.38,46,0,4.76,clear sky,2022-08-05 23:31:57
107,107,Soma,TR,39.1855,27.6094,68.67,68.67,84,0,8.32,clear sky,2022-08-05 23:31:57
108,108,Hokitika,NZ,-42.7167,170.9667,56.07,56.07,97,100,16.67,overcast clouds,2022-08-05 23:31:58
109,109,Ushuaia,AR,-54.8,-68.3,37.06,37.06,81,20,10.36,few clouds,2022-08-05 23:27:38
110,110,Pilar,BR,-9.5972,-35.9567,73.33,73.33,91,22,0.78,few clouds,2022-08-05 23:31:58
111,111,Yar-Sale,RU,66.8333,70.8333,59.58,59.58,81,97,7.56,overcast clouds,2022-08-05 23:31:59
112,112,Fukue,JP,32.6881,128.8419,84.56,84.56,89,75,4.61,broken clouds,2022-08-05 23:32:00
113,113,Cabo San Lucas,MX,22.8909,-109.9124,95.61,92.17,43,0,8.05,clear sky,2022-08-05 23:30:31
114,114,Krasnyy Chikoy,RU,50.3643,108.7512,57.43,57.43,81,86,2.04,overcast clouds,2022-08-05 23:32:00
115,115,Grindavik,IS,63.8424,-22.4338,53.55,52.27,100,100,20.71,overcast clouds,2022-08-05 23:30:28
116,116,Calarasi,MD,47.2544,28.3081,68.32,68.32,76,8,3.04,clear sky,2022-08-05 23:32:01
117,117,Zhigansk,RU,66.7697,123.3711,49.06,49.06,97,100,19.6,moderate rain,2022-08-05 23:24:08
118,118,Hilo,US,19.7297,-155.09,87.28,78.12,85,100,10.36,overcast clouds,2022-08-05 23:32:02
119,119,Padang,ID,-0.9492,100.3543,73.45,73.45,82,90,3.76,overcast clouds,2022-08-05 23:32:02
