City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Lincoln,-34.7333,135.8667,53.58,76,51,10.29,AU,2022-07-27 23:33:44
1,Bambous Virieux,-20.3428,57.7575,68.25,83,40,8.05,MU,2022-07-27 23:33:45
2,Yellowknife,62.456,-114.3525,70.32,56,75,11.5,CA,2022-07-27 23:33:45
3,Touros,-5.1989,-35.4608,74.82,82,48,12.26,BR,2022-07-27 23:31:49
4,Albany,42.6001,-73.9662,79.45,56,99,2.17,US,2022-07-27 23:33:05
5,Klaksvik,62.2266,-6.589,52.72,94,97,13.33,FO,2022-07-27 23:33:46
6,Ushuaia,-54.8,-68.3,40.66,81,75,17.27,AR,2022-07-27 23:33:05
7,Cherskiy,68.75,161.3,53.44,48,65,2.15,RU,2022-07-27 23:33:47
8,Atuona,-9.8,-139.0333,77.25,69,0,21.16,PF,2022-07-27 23:31:54
9,New Norfolk,-42.7826,147.0587,50.72,77,81,1.01,AU,2022-07-27 23:31:58
10,Mogadishu,2.0371,45.3438,75.65,77,43,19.44,SO,2022-07-27 23:33:48
11,Havoysund,70.9963,24.6622,50.23,91,100,20.89,NO,2022-07-27 23:33:48
12,Canutama,-6.5339,-64.3831,80.06,44,7,1.45,BR,2022-07-27 23:33:49
13,Busselton,-33.65,115.3333,55.11,73,18,9.71,AU,2022-07-27 23:33:49
14,Moron,-34.6534,-58.6198,64.0,98,100,4.61,AR,2022-07-27 23:33:49
15,Saint-Augustin,51.226,-58.6502,61.23,87,93,5.55,CA,2022-07-27 23:33:50
16,Cairns,-16.9167,145.7667,74.1,74,75,16.11,AU,2022-07-27 23:30:13
17,Sept-Iles,50.2001,-66.3821,73.4,66,40,9.22,CA,2022-07-27 23:30:13
18,Arraial Do Cabo,-22.9661,-42.0278,69.76,83,0,11.5,BR,2022-07-27 23:33:51
19,Korla,41.7597,86.1469,82.94,23,40,7.07,CN,2022-07-27 23:33:51
20,Belozerskoye,55.8214,65.5842,59.59,73,100,11.52,RU,2022-07-27 23:33:52
21,Port Alfred,-33.5906,26.891,63.55,75,97,11.97,ZA,2022-07-27 23:33:52
22,Mzimba,-11.9,33.6,55.63,74,5,8.01,MW,2022-07-27 23:33:53
23,Rikitea,-23.1203,-134.9692,74.1,68,98,14.88,PF,2022-07-27 23:31:49
24,Hobart,-42.8794,147.3294,51.06,71,20,6.91,AU,2022-07-27 23:30:08
25,Fairbanks,64.8378,-147.7164,59.59,70,75,14.97,US,2022-07-27 23:33:54
26,Coahuayana,18.7333,-103.6833,84.22,69,98,1.92,MX,2022-07-27 23:33:54
27,Sorong,-0.8833,131.25,80.28,82,22,4.99,ID,2022-07-27 23:33:55
28,Cururupu,-1.8283,-44.8683,74.5,88,66,2.75,BR,2022-07-27 23:33:55
29,Cockburn Town,21.4612,-71.1419,81.34,77,5,18.86,TC,2022-07-27 23:33:56
30,Hermanus,-34.4187,19.2345,54.81,84,0,11.7,ZA,2022-07-27 23:33:56
31,Saint George,37.1041,-113.5841,91.99,45,0,17.0,US,2022-07-27 23:31:02
32,Lar,26.2039,83.9717,83.16,75,100,3.11,IN,2022-07-27 23:33:57
33,Bluff,-46.6,168.3333,47.8,87,100,13.0,NZ,2022-07-27 23:33:02
34,San Cristobal,7.7669,-72.225,75.38,99,54,2.89,VE,2022-07-27 23:31:15
35,Puerto Ayora,-0.7393,-90.3518,70.56,92,85,5.99,EC,2022-07-27 23:33:58
36,Lebu,-37.6167,-73.65,49.26,87,24,6.08,CL,2022-07-27 23:32:48
37,Dublin,37.7021,-121.9358,95.63,43,0,14.97,US,2022-07-27 23:31:31
38,Pacifica,37.6138,-122.4869,81.68,77,20,24.16,US,2022-07-27 23:29:16
39,Pisco,-13.7,-76.2167,62.65,82,20,14.97,PE,2022-07-27 23:33:59
40,Kendari,-3.945,122.4989,77.85,76,25,3.0,ID,2022-07-27 23:33:59
41,Killybegs,54.6333,-8.45,54.79,86,100,6.4,IE,2022-07-27 23:34:00
42,Diamantino,-14.4086,-56.4461,77.79,30,3,4.34,BR,2022-07-27 23:29:27
43,Vao,-22.6667,167.4833,69.3,69,68,8.75,NC,2022-07-27 23:34:01
44,Provideniya,64.3833,-173.3,46.51,100,100,4.47,RU,2022-07-27 23:34:01
45,Caravelas,-17.7125,-39.2481,69.03,82,3,3.6,BR,2022-07-27 23:35:02
46,Sur,22.5667,59.5289,81.16,73,33,14.9,OM,2022-07-27 23:35:02
47,Chokurdakh,70.6333,147.9167,58.33,39,68,12.68,RU,2022-07-27 23:35:03
48,Clyde River,70.4692,-68.5914,39.43,100,100,8.05,CA,2022-07-27 23:35:03
49,Nemuro,43.3236,145.575,62.69,96,91,7.29,JP,2022-07-27 23:35:04
50,Dutse,11.7594,9.3392,75.34,80,88,8.41,NG,2022-07-27 23:35:04
51,Khatanga,71.9667,102.5,66.81,52,80,1.77,RU,2022-07-27 23:35:04
52,Camapua,-19.5314,-54.0439,74.07,28,1,3.04,BR,2022-07-27 23:31:27
53,Delano,35.7688,-119.247,99.18,13,0,9.22,US,2022-07-27 23:32:30
54,Hofn,64.2539,-15.2082,53.42,98,100,24.27,IS,2022-07-27 23:35:05
55,Mezen,65.8522,44.24,60.89,93,60,7.36,RU,2022-07-27 23:35:06
56,Avera,33.194,-82.5271,91.54,49,93,10.74,US,2022-07-27 23:35:06
57,Esperance,-33.8667,121.9,53.19,66,13,17.25,AU,2022-07-27 23:35:07
58,Okhotsk,59.3833,143.3,62.38,82,97,0.92,RU,2022-07-27 23:35:07
59,Umm Kaddadah,13.6017,26.6876,80.28,56,82,12.53,SD,2022-07-27 23:35:08
60,Leningradskiy,69.3833,178.4167,38.71,82,97,5.77,RU,2022-07-27 23:35:08
61,Galdar,28.147,-15.6502,73.9,81,33,15.82,ES,2022-07-27 23:35:09
62,Saint-Philippe,-21.3585,55.7679,67.59,82,15,7.2,RE,2022-07-27 23:35:09
63,Gawler,-34.6,138.7333,52.48,86,94,4.29,AU,2022-07-27 23:34:13
64,Tiksi,71.6872,128.8694,66.45,60,39,5.35,RU,2022-07-27 23:35:10
65,Cabo San Lucas,22.8909,-109.9124,92.61,51,0,9.22,MX,2022-07-27 23:31:55
66,Vaini,-21.2,-175.2,78.96,83,20,9.22,TO,2022-07-27 23:35:10
67,Guerrero Negro,27.9769,-114.0611,75.33,63,52,16.08,MX,2022-07-27 23:35:11
68,Nikolskoye,59.7035,30.7861,58.91,96,100,4.29,RU,2022-07-27 23:35:11
69,Richards Bay,-28.783,32.0377,63.64,92,73,6.67,ZA,2022-07-27 23:35:12
70,Tilichiki,60.4667,166.1,47.82,72,88,13.8,RU,2022-07-27 23:30:47
71,East London,-33.0153,27.9116,63.21,76,83,5.1,ZA,2022-07-27 23:31:55
72,Alofi,-19.0595,-169.9187,78.69,78,75,13.8,NU,2022-07-27 23:35:13
73,Hilo,19.7297,-155.09,89.28,78,75,12.66,US,2022-07-27 23:33:07
74,Ennis,52.8436,-8.9864,58.93,72,75,6.91,IE,2022-07-27 23:35:13
75,Ornskoldsvik,63.2909,18.7153,50.95,76,99,11.5,SE,2022-07-27 23:35:14
76,Beringovskiy,63.05,179.3167,48.09,90,89,4.63,RU,2022-07-27 23:35:14
77,Ladario,-19.0047,-57.6017,77.11,32,1,2.04,BR,2022-07-27 23:35:15
78,Morehead,37.2711,-87.1764,88.99,75,75,3.44,US,2022-07-27 23:35:15
79,Mar Del Plata,-38.0023,-57.5575,53.1,59,100,5.01,AR,2022-07-27 23:33:46
80,Ribeira Grande,38.5167,-28.7,73.31,87,61,10.13,PT,2022-07-27 23:35:16
81,Bathsheba,13.2167,-59.5167,81.21,87,20,14.97,BB,2022-07-27 23:35:16
82,Brae,60.3964,-1.353,53.06,80,72,6.04,GB,2022-07-27 23:35:17
83,Punta Arenas,-53.15,-70.9167,41.11,70,20,36.82,CL,2022-07-27 23:35:17
84,Lompoc,34.6391,-120.4579,84.02,74,0,17.0,US,2022-07-27 23:32:36
85,Birjand,32.8663,59.2211,81.07,24,0,6.91,IR,2022-07-27 23:35:18
86,Shingu,33.7333,135.9833,83.5,77,17,5.53,JP,2022-07-27 23:35:18
87,Hithadhoo,-0.6,73.0833,82.13,74,100,12.48,MV,2022-07-27 23:35:19
88,Whitehorse,60.7161,-135.0538,60.03,67,75,2.3,CA,2022-07-27 23:35:19
89,Hauterive,46.0901,3.4459,57.96,65,10,1.12,FR,2022-07-27 23:35:20
90,Nanortalik,60.1432,-45.2371,43.03,86,74,6.29,GL,2022-07-27 23:35:20
91,Aleksandrov Gay,50.147,48.5704,73.71,53,72,5.64,RU,2022-07-27 23:35:21
92,Butaritari,3.0707,172.7902,81.25,77,6,15.79,KI,2022-07-27 23:35:21
93,Qaanaaq,77.484,-69.3632,39.27,82,88,5.17,GL,2022-07-27 23:36:21
94,Lasa,46.6166,10.7002,65.28,92,54,2.66,IT,2022-07-27 23:36:22
95,Mataura,-46.1927,168.8643,47.48,99,100,2.89,NZ,2022-07-27 23:36:23
96,Avarua,-21.2078,-159.775,78.85,65,20,13.8,CK,2022-07-27 23:36:23
97,Hambantota,6.1241,81.1185,77.5,82,97,5.17,LK,2022-07-27 23:35:30
98,Vega De Alatorre,20.0333,-96.6333,85.01,68,10,13.94,MX,2022-07-27 23:36:25
99,Rudnogorsk,57.2639,103.7519,54.12,97,100,3.85,RU,2022-07-27 23:36:25
100,Fortuna,40.5982,-124.1573,71.92,72,40,13.8,US,2022-07-27 23:36:25
101,Airai,-8.9266,125.4092,61.48,60,45,5.19,TL,2022-07-27 23:31:50
